deaths,cases,Country,Date
0,1,Spain,18/03/15
1,4,United States of America,18/03/15
7,19,Nigeria,18/03/15
,7,Mali,18/03/15
,3150,Liberia,18/03/15
0,1,Senegal,18/03/15
,1,United Kingdom,18/03/15
0,1,Senegal,20/03/15
1,4,United States of America,20/03/15
7,19,Nigeria,20/03/15
3346,8508,Sierra Leone,20/03/15
,1,United Kingdom,20/03/15
0,1,Spain,20/03/15
,7,Mali,20/03/15
1846,2988,Guinea,20/03/15
,3150,Liberia,20/03/15
,7,Mali,23/03/15
1,4,United States of America,23/03/15
0,1,Spain,23/03/15
3376,8518,Sierra Leone,23/03/15
0,1,Senegal,23/03/15
1863,3007,Guinea,23/03/15
,1,United Kingdom,23/03/15
7,19,Nigeria,23/03/15
,3151,Liberia,23/03/15
0,1,Senegal,24/03/15
,7,Mali,24/03/15
3381,8520,Sierra Leone,24/03/15
0,1,Spain,24/03/15
7,19,Nigeria,24/03/15
1,4,United States of America,24/03/15
1865,3011,Guinea,24/03/15
,3151,Liberia,24/03/15
,1,United Kingdom,24/03/15
,7,Mali,25/03/15
7,19,Nigeria,25/03/15
3381,8520,Sierra Leone,25/03/15
0,1,Senegal,25/03/15
,1,United Kingdom,25/03/15
1,4,United States of America,25/03/15
1865,3011,Guinea,25/03/15
0,1,Spain,25/03/15
,3151,Liberia,25/03/15
0,1,Spain,26/03/15
1875,3032,Guinea,26/03/15
7,19,Nigeria,26/03/15
,3151,Liberia,26/03/15
1,4,United States of America,26/03/15
,1,United Kingdom,26/03/15
,7,Mali,26/03/15
0,1,Senegal,26/03/15
3398,8529,Sierra Leone,26/03/15
1878,3042,Guinea,27/03/15
,3151,Liberia,27/03/15
1,4,United States of America,27/03/15
,1,United Kingdom,27/03/15
0,1,Senegal,27/03/15
3407,8532,Sierra Leone,27/03/15
7,19,Nigeria,27/03/15
0,1,Spain,27/03/15
,7,Mali,27/03/15
0,1,Senegal,07/04/15
,7,Mali,07/04/15
,1,United Kingdom,07/04/15
7,19,Nigeria,07/04/15
1919,3089,Guinea,07/04/15
0,1,Spain,07/04/15
3466,8555,Sierra Leone,07/04/15
1,4,United States of America,07/04/15
,3151,Liberia,07/04/15
1921,3093,Guinea,09/04/15
,3151,Liberia,09/04/15
0,1,Senegal,09/04/15
1,4,United States of America,09/04/15
,7,Mali,09/04/15
3475,8558,Sierra Leone,09/04/15
7,19,Nigeria,09/04/15
0,1,Spain,09/04/15
,1,United Kingdom,09/04/15
3488,8560,Sierra Leone,13/04/15
,7,Mali,13/04/15
0,1,Spain,13/04/15
1928,3112,Guinea,13/04/15
7,19,Nigeria,13/04/15
,1,United Kingdom,13/04/15
,3151,Liberia,13/04/15
1,4,United States of America,13/04/15
0,1,Senegal,13/04/15
,7,Mali,14/04/15
1932,3117,Guinea,14/04/15
0,1,Senegal,14/04/15
7,19,Nigeria,14/04/15
1,4,United States of America,14/04/15
0,1,Spain,14/04/15
3491,8563,Sierra Leone,14/04/15
,3151,Liberia,14/04/15
,1,United Kingdom,14/04/15
7,19,Nigeria,15/04/15
,7,Mali,15/04/15
,1,United Kingdom,15/04/15
1,4,United States of America,15/04/15
0,1,Spain,15/04/15
3491,8563,Sierra Leone,15/04/15
,3151,Liberia,15/04/15
1932,3117,Guinea,15/04/15
0,1,Senegal,15/04/15
1934,3124,Guinea,16/04/15
,3151,Liberia,16/04/15
7,19,Nigeria,16/04/15
0,1,Spain,16/04/15
0,1,Senegal,16/04/15
1,4,United States of America,16/04/15
3499,8566,Sierra Leone,16/04/15
,7,Mali,16/04/15
,1,United Kingdom,16/04/15
,7,Mali,17/04/15
7,19,Nigeria,17/04/15
1937,3126,Guinea,17/04/15
3499,8569,Sierra Leone,17/04/15
1,4,United States of America,17/04/15
0,1,Senegal,17/04/15
0,1,Spain,17/04/15
,1,United Kingdom,17/04/15
,3151,Liberia,17/04/15
0,1,Senegal,20/04/15
3506,8572,Sierra Leone,20/04/15
1,4,United States of America,20/04/15
1942,3133,Guinea,20/04/15
,3151,Liberia,20/04/15
0,1,Spain,20/04/15
7,19,Nigeria,20/04/15
,1,United Kingdom,20/04/15
,7,Mali,20/04/15
,7,Mali,21/04/15
1943,3136,Guinea,21/04/15
0,1,Senegal,21/04/15
,3151,Liberia,21/04/15
1,4,United States of America,21/04/15
0,1,Spain,21/04/15
3511,8573,Sierra Leone,21/04/15
7,19,Nigeria,21/04/15
,1,United Kingdom,21/04/15
,7,Mali,22/04/15
1,4,United States of America,22/04/15
1943,3136,Guinea,22/04/15
0,1,Spain,22/04/15
3511,8575,Sierra Leone,22/04/15
,3151,Liberia,22/04/15
0,1,Senegal,22/04/15
7,19,Nigeria,22/04/15
,1,United Kingdom,22/04/15
,7,Mali,23/04/15
0,1,Spain,23/04/15
7,19,Nigeria,23/04/15
0,1,Senegal,23/04/15
,3151,Liberia,23/04/15
1947,3144,Guinea,23/04/15
1,4,United States of America,23/04/15
3519,8581,Sierra Leone,23/04/15
,1,United Kingdom,23/04/15
0,1,Spain,24/04/15
1,4,United States of America,24/04/15
,3151,Liberia,24/04/15
0,1,Senegal,24/04/15
1950,3145,Guinea,24/04/15
,7,Mali,24/04/15
7,19,Nigeria,24/04/15
3520,8584,Sierra Leone,24/04/15
,1,United Kingdom,24/04/15
0,1,Spain,27/04/15
,7,Mali,27/04/15
1,4,United States of America,27/04/15
0,1,Senegal,27/04/15
1959,3154,Guinea,27/04/15
7,19,Nigeria,27/04/15
3529,8585,Sierra Leone,27/04/15
,3151,Liberia,27/04/15
,1,United Kingdom,27/04/15
1962,3158,Guinea,28/04/15
3533,8586,Sierra Leone,28/04/15
0,1,Senegal,28/04/15
,1,United Kingdom,28/04/15
,7,Mali,28/04/15
0,1,Spain,28/04/15
,3151,Liberia,28/04/15
1,4,United States of America,28/04/15
7,19,Nigeria,28/04/15
,3151,Liberia,30/04/15
1,4,United States of America,30/04/15
0,1,Senegal,30/04/15
1966,3159,Guinea,30/04/15
7,19,Nigeria,30/04/15
,7,Mali,30/04/15
3535,8588,Sierra Leone,30/04/15
